manufacturer_id,manufacturer_name,country,reliability_rating,contract_status,contact_email,contact_phone,lead_time_days,supplier_tier,manufacturer_code,gmp_certified,iso_certification,website,preferred_supplier,manufacturer_status,created_date,updated_date
19,Batra-Sidhu,USA,4.0,Expired,contact@bshealth.com,9995792621,11,Approved,MFG0019,True,ISO 9001,https://www.bshealth.com,False,Inactive,2023-01-01,2025-01-01
20,"Sarkar, Zachariah and Krishnamurthy",USA,4.5,Active,sales@sarkarzachariahlabs.com,9604652628,6,Preferred,MFG0020,True,ISO 9001,https://www.sarkarzachariahlabs.com,True,Active,2023-01-01,2025-01-01
21,Mann Group,Germany,4.7,Expired,info@mgpharma.com,9349628169,3,Strategic,MFG0021,True,ISO 9001,https://www.mgpharma.com,True,Inactive,2023-01-01,2025-01-01
22,Rai-Grewal,Germany,3.7,Active,contact@rghealth.com,9789239103,21,Conditional,MFG0022,False,ISO 9001,https://www.rghealth.com,False,Active,2023-01-01,2025-01-01
23,Sabharwal Group,UK,4.1,Expired,sales@sghealth.com,9783409888,10,Approved,MFG0023,True,ISO 9001,https://www.sghealth.com,False,Inactive,2023-01-01,2025-01-01
24,Padmanabhan and Sons,Germany,4.8,Active,sales@paspharma.com,9563154794,5,Strategic,MFG0024,True,ISO 9001,https://www.paspharma.com,True,Active,2023-01-01,2025-01-01
25,Dhar Ltd,Germany,4.2,Expired,support@dlpharma.com,9214728155,6,Approved,MFG0025,True,ISO 9001,https://www.dlpharma.com,False,Inactive,2023-01-01,2025-01-01
26,"Khosla, Choudhary and Bhatia",USA,3.9,Expired,support@kcabhealth.com,9739856062,20,Approved,MFG0026,False,ISO 9001,https://www.kcabhealth.com,False,Inactive,2023-01-01,2025-01-01
27,"Virk, Golla and Bhatti",USA,3.8,Active,info@vgabhealth.com,9728219519,13,Approved,MFG0027,False,ISO 9001,https://www.vgabhealth.com,False,Active,2023-01-01,2025-01-01
28,"Bhakta, Chand and Agrawal",India,3.6,Expired,support@bhaktachandpharma.com,9362182606,15,Conditional,MFG0028,False,ISO 9001,https://www.bhaktachandpharma.com,False,Inactive,2023-01-01,2025-01-01
29,Banerjee Ltd,Germany,4.1,Active,support@blhealth.com,9544264886,11,Approved,MFG0029,True,ISO 9001,https://www.blhealth.com,False,Active,2023-01-01,2025-01-01
30,Munshi-Dyal,Germany,4.2,Expired,info@munshidyalpharma.com,9219702431,6,Approved,MFG0030,True,ISO 9001,https://www.munshidyalpharma.com,False,Inactive,2023-01-01,2025-01-01
31,Arora-Ghosh,Germany,4.6,Expired,info@aroraghoshpharma.com,9608526558,7,Preferred,MFG0031,True,ISO 9001,https://www.aroraghoshpharma.com,True,Inactive,2023-01-01,2025-01-01
32,Pall Ltd,India,4.8,Expired,sales@plpharma.com,9652490852,4,Strategic,MFG0032,True,ISO 9001,https://www.plpharma.com,True,Inactive,2023-01-01,2025-01-01
33,Dani LLC,USA,4.2,Active,contact@danillcpharma.com,9404009226,11,Approved,MFG0033,True,ISO 9001,https://www.danillcpharma.com,False,Active,2023-01-01,2025-01-01
34,Vasa-Walia,Germany,4.2,Active,sales@vwpharma.com,9047153248,11,Approved,MFG0034,True,ISO 9001,https://www.vwpharma.com,False,Active,2023-01-01,2025-01-01
35,"Bains, Shankar and Master",Germany,3.6,Expired,contact@bsampharma.com,9180829613,11,Conditional,MFG0035,False,ISO 9001,https://www.bsampharma.com,False,Inactive,2023-01-01,2025-01-01
36,Sani-Jayaraman,Germany,4.6,Expired,contact@sanijayaramanlabs.com,9905758500,3,Preferred,MFG0036,True,ISO 9001,https://www.sanijayaramanlabs.com,True,Inactive,2023-01-01,2025-01-01
37,"Chandra, D’Alia and Shah",Switzerland,4.4,Expired,sales@cdashealth.com,9933656241,6,Preferred,MFG0037,True,ISO 9001,https://www.cdashealth.com,True,Inactive,2023-01-01,2025-01-01
38,"Salvi, Gulati and Thaman",India,4.0,Expired,info@sgatpharma.com,9649878262,7,Approved,MFG0038,True,ISO 9001,https://www.sgatpharma.com,False,Inactive,2023-01-01,2025-01-01
39,Sheth Inc,India,3.9,Active,contact@sipharma.com,9235359754,10,Approved,MFG0039,False,ISO 9001,https://www.sipharma.com,False,Active,2023-01-01,2025-01-01
40,Singh-Prabhakar,Switzerland,4.7,Active,info@sppharma.com,9996993697,5,Strategic,MFG0040,True,ISO 9001,https://www.sppharma.com,True,Active,2023-01-01,2025-01-01
41,Varty Group,UK,4.6,Active,info@vartygrouppharma.com,9121677370,7,Preferred,MFG0041,True,ISO 9001,https://www.vartygrouppharma.com,True,Active,2023-01-01,2025-01-01
42,Khosla-Hans,Switzerland,4.4,Expired,sales@khpharma.com,9769949181,8,Preferred,MFG0042,True,ISO 9001,https://www.khpharma.com,True,Inactive,2023-01-01,2025-01-01
43,Som-Sharma,Switzerland,4.2,Active,sales@somsharmalabs.com,9721646177,11,Approved,MFG0043,True,ISO 9001,https://www.somsharmalabs.com,False,Active,2023-01-01,2025-01-01
44,Wagle-Sridhar,USA,4.5,Active,support@wshealth.com,9006638123,7,Preferred,MFG0044,True,ISO 9001,https://www.wshealth.com,True,Active,2023-01-01,2025-01-01
45,"Mitra, Barad and Dewan",UK,3.7,Expired,contact@mitrabaradlabs.com,9829047197,20,Conditional,MFG0045,False,ISO 9001,https://www.mitrabaradlabs.com,False,Inactive,2023-01-01,2025-01-01
46,Borde-Rout,USA,3.8,Active,sales@brpharma.com,9521408797,18,Approved,MFG0046,False,ISO 9001,https://www.brpharma.com,False,Active,2023-01-01,2025-01-01
47,Som-Sule,Germany,3.7,Expired,support@sspharma.com,9558749101,11,Conditional,MFG0047,False,ISO 9001,https://www.sspharma.com,False,Inactive,2023-01-01,2025-01-01
48,"Gill, Kapadia and Wagle",UK,3.8,Expired,contact@gillkapadialabs.com,9769753116,18,Approved,MFG0048,False,ISO 9001,https://www.gillkapadialabs.com,False,Inactive,2023-01-01,2025-01-01
49,Kothari PLC,Germany,4.2,Expired,sales@kothariplclabs.com,9949056777,8,Approved,MFG0049,True,ISO 9001,https://www.kothariplclabs.com,False,Inactive,2023-01-01,2025-01-01
50,Dani Group,Germany,4.3,Expired,support@dgpharma.com,9012304531,7,Preferred,MFG0050,True,ISO 9001,https://www.dgpharma.com,True,Inactive,2023-01-01,2025-01-01
51,Andra Group,Switzerland,4.4,Expired,sales@andragrouppharma.com,9112398096,11,Preferred,MFG0051,True,ISO 9001,https://www.andragrouppharma.com,True,Inactive,2023-01-01,2025-01-01
52,Kapur Group,USA,4.4,Expired,support@kgpharma.com,9136803465,7,Preferred,MFG0052,True,ISO 9001,https://www.kgpharma.com,True,Inactive,2023-01-01,2025-01-01
53,Rao-Nazareth,Switzerland,3.6,Active,sales@raonazarethlabs.com,9179012360,13,Conditional,MFG0053,False,ISO 9001,https://www.raonazarethlabs.com,False,Active,2023-01-01,2025-01-01
54,"Singhal, Kothari and Amble",UK,3.8,Expired,info@singhalkotharipharma.com,9755738318,18,Approved,MFG0054,False,ISO 9001,https://www.singhalkotharipharma.com,False,Inactive,2023-01-01,2025-01-01
55,"Mannan, Devan and Bhardwaj",USA,3.5,Expired,contact@mannandevanpharma.com,9945976358,13,Conditional,MFG0055,False,ISO 9001,https://www.mannandevanpharma.com,False,Inactive,2023-01-01,2025-01-01
56,"Parekh, Chaudhari and Nath",UK,3.8,Active,support@pcanhealth.com,9723303711,18,Approved,MFG0056,False,ISO 9001,https://www.pcanhealth.com,False,Active,2023-01-01,2025-01-01
57,"Chowdhury, Sahni and Vig",USA,3.7,Active,info@csavpharma.com,9578939538,20,Conditional,MFG0057,False,ISO 9001,https://www.csavpharma.com,False,Active,2023-01-01,2025-01-01
58,"Prabhakar, Bera and Dora",USA,4.7,Expired,sales@pbadhealth.com,9214767969,3,Strategic,MFG0058,True,ISO 9001,https://www.pbadhealth.com,True,Inactive,2023-01-01,2025-01-01
59,Dutt-Guha,UK,3.6,Expired,sales@duttguhapharma.com,9403926176,11,Conditional,MFG0059,False,ISO 9001,https://www.duttguhapharma.com,False,Inactive,2023-01-01,2025-01-01
60,Behl Ltd,Germany,4.1,Active,sales@behlltdpharma.com,9072366223,9,Approved,MFG0060,True,ISO 9001,https://www.behlltdpharma.com,False,Active,2023-01-01,2025-01-01
61,Dhar Ltd,Germany,3.6,Expired,support@dharltdpharma.com,9517088775,10,Conditional,MFG0061,False,ISO 9001,https://www.dharltdpharma.com,False,Inactive,2023-01-01,2025-01-01
62,Contractor Ltd,India,4.2,Expired,support@clhealth.com,9591997654,8,Approved,MFG0062,True,ISO 9001,https://www.clhealth.com,False,Inactive,2023-01-01,2025-01-01
63,Chand Ltd,Switzerland,3.9,Expired,contact@chandltdlabs.com,9514810736,19,Approved,MFG0063,False,ISO 9001,https://www.chandltdlabs.com,False,Inactive,2023-01-01,2025-01-01
64,Dua Inc,Germany,3.7,Expired,info@duainclabs.com,9061279450,19,Conditional,MFG0064,False,ISO 9001,https://www.duainclabs.com,False,Inactive,2023-01-01,2025-01-01
65,Prashad-Sur,India,3.9,Expired,support@pshealth.com,9999348541,20,Approved,MFG0065,False,ISO 9001,https://www.pshealth.com,False,Inactive,2023-01-01,2025-01-01
66,"Mitra, Trivedi and Dora",Switzerland,3.8,Expired,contact@mitratrivedilabs.com,9544823325,14,Approved,MFG0066,False,ISO 9001,https://www.mitratrivedilabs.com,False,Inactive,2023-01-01,2025-01-01
67,Kade Inc,USA,4.5,Expired,info@kipharma.com,9412204976,5,Preferred,MFG0067,True,ISO 9001,https://www.kipharma.com,True,Inactive,2023-01-01,2025-01-01
68,Talwar-Agarwal,India,4.5,Expired,support@tahealth.com,9188493430,4,Preferred,MFG0068,True,ISO 9001,https://www.tahealth.com,True,Inactive,2023-01-01,2025-01-01
69,Raja-Lall,India,4.6,Expired,contact@rajalallpharma.com,9660359624,5,Preferred,MFG0069,True,ISO 9001,https://www.rajalallpharma.com,True,Inactive,2023-01-01,2025-01-01
70,Warrior PLC,Germany,3.7,Expired,sales@warriorplcpharma.com,9501982351,17,Conditional,MFG0070,False,ISO 9001,https://www.warriorplcpharma.com,False,Inactive,2023-01-01,2025-01-01
71,"Bandi, Bajwa and Prakash",UK,3.6,Active,info@bandibajwalabs.com,9387449553,16,Conditional,MFG0071,False,ISO 9001,https://www.bandibajwalabs.com,False,Active,2023-01-01,2025-01-01
72,Atwal-Ganguly,Switzerland,4.2,Active,contact@atwalgangulypharma.com,9181504622,7,Approved,MFG0072,True,ISO 9001,https://www.atwalgangulypharma.com,False,Active,2023-01-01,2025-01-01
73,Ahuja-Rout,UK,4.5,Expired,sales@ahujaroutpharma.com,9039922699,3,Preferred,MFG0073,True,ISO 9001,https://www.ahujaroutpharma.com,True,Inactive,2023-01-01,2025-01-01
74,"Pingle, Sunder and Murty",UK,4.8,Expired,info@pinglesunderlabs.com,9176447922,4,Strategic,MFG0074,True,ISO 9001,https://www.pinglesunderlabs.com,True,Inactive,2023-01-01,2025-01-01
75,Baria-Raj,Switzerland,4.4,Active,contact@brhealth.com,9169383786,6,Preferred,MFG0075,True,ISO 9001,https://www.brhealth.com,True,Active,2023-01-01,2025-01-01
76,"Madan, Kanda and Balasubramanian",Germany,4.0,Expired,contact@madankandapharma.com,9471085991,6,Approved,MFG0076,True,ISO 9001,https://www.madankandapharma.com,False,Inactive,2023-01-01,2025-01-01
77,Sabharwal Ltd,Germany,3.6,Expired,sales@slhealth.com,9702335673,11,Conditional,MFG0077,False,ISO 9001,https://www.slhealth.com,False,Inactive,2023-01-01,2025-01-01
78,Chakraborty-Pathak,Germany,3.7,Active,info@chakrabortypathakpharma.com,9083151489,12,Conditional,MFG0078,False,ISO 9001,https://www.chakrabortypathakpharma.com,False,Active,2023-01-01,2025-01-01
79,"Sanghvi, Parekh and Gera",Germany,4.9,Expired,contact@sanghviparekhlabs.com,9387375394,7,Strategic,MFG0079,True,ISO 9001,https://www.sanghviparekhlabs.com,True,Inactive,2023-01-01,2025-01-01
80,Thaman and Sons,UK,3.5,Expired,sales@taspharma.com,9256861553,10,Conditional,MFG0080,False,ISO 9001,https://www.taspharma.com,False,Inactive,2023-01-01,2025-01-01
81,Hayer LLC,Switzerland,3.6,Expired,support@hayerllcpharma.com,9702576689,16,Conditional,MFG0081,False,ISO 9001,https://www.hayerllcpharma.com,False,Inactive,2023-01-01,2025-01-01
82,Saraf and Sons,UK,3.8,Active,sales@sarafandlabs.com,9122268769,15,Approved,MFG0082,False,ISO 9001,https://www.sarafandlabs.com,False,Active,2023-01-01,2025-01-01
83,"Hora, Korpal and Rama",UK,4.7,Active,sales@horakorpalpharma.com,9466864076,3,Strategic,MFG0083,True,ISO 9001,https://www.horakorpalpharma.com,True,Active,2023-01-01,2025-01-01
84,"Sawhney, Trivedi and Kadakia",Switzerland,4.2,Active,support@sawhneytrivedipharma.com,9636183675,10,Approved,MFG0084,True,ISO 9001,https://www.sawhneytrivedipharma.com,False,Active,2023-01-01,2025-01-01
85,"Mallick, Bath and Bala",UK,4.4,Expired,info@mallickbathlabs.com,9722783055,8,Preferred,MFG0085,True,ISO 9001,https://www.mallickbathlabs.com,True,Inactive,2023-01-01,2025-01-01
86,Pai Group,UK,3.7,Expired,info@pgpharma.com,9964229862,15,Conditional,MFG0086,False,ISO 9001,https://www.pgpharma.com,False,Inactive,2023-01-01,2025-01-01
87,"Bera, Mander and Chowdhury",UK,3.5,Active,sales@bmachealth.com,9785856032,21,Conditional,MFG0087,False,ISO 9001,https://www.bmachealth.com,False,Active,2023-01-01,2025-01-01
88,"Kibe, Tak and Viswanathan",USA,3.7,Active,sales@kibetakpharma.com,9213112761,12,Conditional,MFG0088,False,ISO 9001,https://www.kibetakpharma.com,False,Active,2023-01-01,2025-01-01
89,"Thaman, Lata and Khare",India,4.3,Expired,support@thamanlatapharma.com,9209113148,11,Preferred,MFG0089,True,ISO 9001,https://www.thamanlatapharma.com,True,Inactive,2023-01-01,2025-01-01
90,"Gara, Mani and Majumdar",Switzerland,3.7,Expired,sales@gmamhealth.com,9667878165,17,Conditional,MFG0090,False,ISO 9001,https://www.gmamhealth.com,False,Inactive,2023-01-01,2025-01-01
91,Kalita LLC,USA,3.8,Active,contact@klpharma.com,9361322712,19,Approved,MFG0091,False,ISO 9001,https://www.klpharma.com,False,Active,2023-01-01,2025-01-01
92,"Gaba, Lanka and Madan",Switzerland,3.8,Active,sales@gabalankapharma.com,9159364185,10,Approved,MFG0092,False,ISO 9001,https://www.gabalankapharma.com,False,Active,2023-01-01,2025-01-01
93,Seshadri PLC,USA,3.5,Expired,sales@seshadriplcpharma.com,9823187388,17,Conditional,MFG0093,False,ISO 9001,https://www.seshadriplcpharma.com,False,Inactive,2023-01-01,2025-01-01
94,Yogi LLC,Switzerland,4.2,Active,sales@yogillclabs.com,9879850939,10,Approved,MFG0094,True,ISO 9001,https://www.yogillclabs.com,False,Active,2023-01-01,2025-01-01
95,"Zachariah, Varughese and Raghavan",India,4.4,Active,info@zachariahvarugheselabs.com,9246719240,7,Preferred,MFG0095,True,ISO 9001,https://www.zachariahvarugheselabs.com,True,Active,2023-01-01,2025-01-01
96,"Menon, Bhalla and Dhillon",UK,3.5,Expired,sales@menonbhallalabs.com,9377635646,19,Conditional,MFG0096,False,ISO 9001,https://www.menonbhallalabs.com,False,Inactive,2023-01-01,2025-01-01
97,Lad PLC,UK,4.8,Expired,sales@ladplclabs.com,9103267227,3,Strategic,MFG0097,True,ISO 9001,https://www.ladplclabs.com,True,Inactive,2023-01-01,2025-01-01
98,"Sehgal, Nagi and Chaudhary",Switzerland,4.8,Expired,info@snacpharma.com,9846795304,5,Strategic,MFG0098,True,ISO 9001,https://www.snacpharma.com,True,Inactive,2023-01-01,2025-01-01
99,"Dalal, Sani and Bansal",India,4.8,Expired,contact@dalalsanipharma.com,9051071842,4,Strategic,MFG0099,True,ISO 9001,https://www.dalalsanipharma.com,True,Inactive,2023-01-01,2025-01-01
100,"Pillai, Dhingra and Andra",Germany,4.7,Expired,info@pillaidhingrapharma.com,9510992589,6,Strategic,MFG0100,True,ISO 9001,https://www.pillaidhingrapharma.com,True,Inactive,2023-01-01,2025-01-01
101,Issac-Choudhry,Germany,4.7,Active,support@issacchoudhrypharma.com,9885951130,5,Strategic,MFG0101,True,ISO 9001,https://www.issacchoudhrypharma.com,True,Active,2023-01-01,2025-01-01
102,Sandhu and Sons,Switzerland,3.9,Expired,info@sandhuandlabs.com,9921216994,17,Approved,MFG0102,False,ISO 9001,https://www.sandhuandlabs.com,False,Inactive,2023-01-01,2025-01-01
103,"Grover, Chatterjee and Rastogi",Germany,4.3,Active,info@groverchatterjeepharma.com,9100658680,6,Preferred,MFG0103,True,ISO 9001,https://www.groverchatterjeepharma.com,True,Active,2023-01-01,2025-01-01
104,"Lall, Srinivas and Chaudhary",Germany,4.4,Active,sales@lallsrinivaspharma.com,9021710063,10,Preferred,MFG0104,True,ISO 9001,https://www.lallsrinivaspharma.com,True,Active,2023-01-01,2025-01-01
105,"Zachariah, Kota and Sachdeva",USA,4.6,Expired,support@zkaspharma.com,9830203945,6,Preferred,MFG0105,True,ISO 9001,https://www.zkaspharma.com,True,Inactive,2023-01-01,2025-01-01
106,Narain Ltd,USA,3.7,Active,sales@nlhealth.com,9031711401,18,Conditional,MFG0106,False,ISO 9001,https://www.nlhealth.com,False,Active,2023-01-01,2025-01-01
107,Rout-Nagarajan,India,3.7,Expired,info@routnagarajanpharma.com,9103416267,14,Conditional,MFG0107,False,ISO 9001,https://www.routnagarajanpharma.com,False,Inactive,2023-01-01,2025-01-01
108,"Chacko, Dey and Mani",India,4.1,Expired,support@chackodeylabs.com,9540372344,6,Approved,MFG0108,True,ISO 9001,https://www.chackodeylabs.com,False,Inactive,2023-01-01,2025-01-01
109,"Chaudhari, Dugar and Ratti",Germany,4.7,Expired,sales@cdarhealth.com,9056290634,5,Strategic,MFG0109,True,ISO 9001,https://www.cdarhealth.com,True,Inactive,2023-01-01,2025-01-01
110,"Tara, Batta and Wagle",Switzerland,4.5,Expired,support@tarabattapharma.com,9751111811,6,Preferred,MFG0110,True,ISO 9001,https://www.tarabattapharma.com,True,Inactive,2023-01-01,2025-01-01
111,Dhingra and Sons,Switzerland,4.4,Expired,support@daspharma.com,9993891147,12,Preferred,MFG0111,True,ISO 9001,https://www.daspharma.com,True,Inactive,2023-01-01,2025-01-01
112,Chakraborty-Majumdar,UK,3.9,Expired,contact@chakrabortymajumdarlabs.com,9778565993,20,Approved,MFG0112,False,ISO 9001,https://www.chakrabortymajumdarlabs.com,False,Inactive,2023-01-01,2025-01-01
113,"Kalla, Nigam and Memon",Switzerland,4.5,Active,sales@kallanigampharma.com,9196786997,5,Preferred,MFG0113,True,ISO 9001,https://www.kallanigampharma.com,True,Active,2023-01-01,2025-01-01
114,"Shah, Basak and Balay",USA,3.6,Active,sales@sbabhealth.com,9052704248,21,Conditional,MFG0114,False,ISO 9001,https://www.sbabhealth.com,False,Active,2023-01-01,2025-01-01
115,Chaudhuri-Bhat,Germany,4.8,Active,support@cbpharma.com,9948992968,5,Strategic,MFG0115,True,ISO 9001,https://www.cbpharma.com,True,Active,2023-01-01,2025-01-01
116,Ganesan-Ratta,Germany,3.8,Expired,support@grhealth.com,9299998660,11,Approved,MFG0116,False,ISO 9001,https://www.grhealth.com,False,Inactive,2023-01-01,2025-01-01
117,Chowdhury Ltd,Germany,4.1,Expired,info@chowdhuryltdlabs.com,9955734454,6,Approved,MFG0117,True,ISO 9001,https://www.chowdhuryltdlabs.com,False,Inactive,2023-01-01,2025-01-01
118,Bains-Rai,Germany,4.6,Active,info@brpharma.com,9035423115,7,Preferred,MFG0118,True,ISO 9001,https://www.brpharma.com,True,Active,2023-01-01,2025-01-01
119,Oak-Ratta,Switzerland,3.8,Expired,contact@orpharma.com,9535202825,14,Approved,MFG0119,False,ISO 9001,https://www.orpharma.com,False,Inactive,2023-01-01,2025-01-01
120,"Krishna, Hari and Banerjee",UK,3.7,Active,support@khabpharma.com,9972046591,14,Conditional,MFG0120,False,ISO 9001,https://www.khabpharma.com,False,Active,2023-01-01,2025-01-01
121,"Sur, Hayer and Nayar",UK,3.7,Active,info@surhayerlabs.com,9864318709,19,Conditional,MFG0121,False,ISO 9001,https://www.surhayerlabs.com,False,Active,2023-01-01,2025-01-01
122,Jayaraman Inc,UK,3.5,Active,contact@jipharma.com,9522463119,10,Conditional,MFG0122,False,ISO 9001,https://www.jipharma.com,False,Active,2023-01-01,2025-01-01
123,"Krishnan, Shukla and Krishnan",USA,4.3,Active,contact@ksakhealth.com,9871407872,11,Preferred,MFG0123,True,ISO 9001,https://www.ksakhealth.com,True,Active,2023-01-01,2025-01-01
124,"Sandhu, Sachar and Bora",USA,3.9,Active,sales@sandhusacharlabs.com,9178741832,17,Approved,MFG0124,False,ISO 9001,https://www.sandhusacharlabs.com,False,Active,2023-01-01,2025-01-01
125,Rout Ltd,India,3.6,Active,sales@routltdlabs.com,9446822122,10,Conditional,MFG0125,False,ISO 9001,https://www.routltdlabs.com,False,Active,2023-01-01,2025-01-01
126,Dugal-Rajan,Germany,4.4,Expired,info@drpharma.com,9472357935,6,Preferred,MFG0126,True,ISO 9001,https://www.drpharma.com,True,Inactive,2023-01-01,2025-01-01
127,"Dubey, Tara and Chhabra",UK,4.6,Expired,info@dubeytarapharma.com,9080886190,3,Preferred,MFG0127,True,ISO 9001,https://www.dubeytarapharma.com,True,Inactive,2023-01-01,2025-01-01
128,Din PLC,Switzerland,4.4,Active,support@dphealth.com,9536149857,9,Preferred,MFG0128,True,ISO 9001,https://www.dphealth.com,True,Active,2023-01-01,2025-01-01
129,Srivastava Group,India,4.9,Active,contact@srivastavagrouplabs.com,9923694611,5,Strategic,MFG0129,True,ISO 9001,https://www.srivastavagrouplabs.com,True,Active,2023-01-01,2025-01-01
130,Sahni Inc,USA,4.5,Active,info@sahniincpharma.com,9890888965,6,Preferred,MFG0130,True,ISO 9001,https://www.sahniincpharma.com,True,Active,2023-01-01,2025-01-01
131,"Mishra, Nair and Atwal",UK,3.8,Expired,info@mnaahealth.com,9345057674,16,Approved,MFG0131,False,ISO 9001,https://www.mnaahealth.com,False,Inactive,2023-01-01,2025-01-01
132,"Char, Shenoy and Arora",India,4.6,Active,sales@csaapharma.com,9779530789,7,Preferred,MFG0132,True,ISO 9001,https://www.csaapharma.com,True,Active,2023-01-01,2025-01-01
133,Misra and Sons,UK,3.7,Expired,sales@maspharma.com,9668509973,21,Conditional,MFG0133,False,ISO 9001,https://www.maspharma.com,False,Inactive,2023-01-01,2025-01-01
134,"Golla, Walia and Saran",India,3.5,Expired,contact@gwashealth.com,9304751682,12,Conditional,MFG0134,False,ISO 9001,https://www.gwashealth.com,False,Inactive,2023-01-01,2025-01-01
135,"Dugal, Tak and Dugar",India,3.6,Expired,contact@dugaltakpharma.com,9941481404,13,Conditional,MFG0135,False,ISO 9001,https://www.dugaltakpharma.com,False,Inactive,2023-01-01,2025-01-01
136,"Chaudry, Krishnan and Sankaran",India,3.6,Expired,sales@ckashealth.com,9120858588,21,Conditional,MFG0136,False,ISO 9001,https://www.ckashealth.com,False,Inactive,2023-01-01,2025-01-01
137,Ganguly and Sons,USA,3.7,Active,contact@gaspharma.com,9170979401,20,Conditional,MFG0137,False,ISO 9001,https://www.gaspharma.com,False,Active,2023-01-01,2025-01-01
138,Gokhale Group,Switzerland,4.6,Active,sales@gokhalegrouppharma.com,9632900553,7,Preferred,MFG0138,True,ISO 9001,https://www.gokhalegrouppharma.com,True,Active,2023-01-01,2025-01-01
139,Deo Ltd,Switzerland,3.6,Active,contact@dlhealth.com,9670869275,13,Conditional,MFG0139,False,ISO 9001,https://www.dlhealth.com,False,Active,2023-01-01,2025-01-01
140,Sood Inc,Germany,3.8,Active,support@soodinclabs.com,9459583894,12,Approved,MFG0140,False,ISO 9001,https://www.soodinclabs.com,False,Active,2023-01-01,2025-01-01
141,Narula-Chander,India,3.7,Expired,info@narulachanderpharma.com,9397786159,14,Conditional,MFG0141,False,ISO 9001,https://www.narulachanderpharma.com,False,Inactive,2023-01-01,2025-01-01
