drug_id,drug_name,brand_name,drug_category,unit_cost,manufacturer_id,dosage_form,prescription_required,storage_condition,expiry_months,route_of_administration,therapeutic_class,drug_schedule,strength,unit_of_measure,generic_or_brand,controlled_substance,high_alert_medication,drug_status,created_by,updated_by,created_date,updated_date
37,Doloribus,Tandon LLC,Analgesic,171,203,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
38,Id,"Ravi, Hari and Sengupta",Antibiotic,57,253,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
39,Labore,Wable-Goswami,Vitamin,64,244,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
40,Ipsa,Pandit-Kale,Vitamin,120,212,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
41,Doloremque,Sani Group,Vitamin,401,197,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
42,Unde,Muni and Sons,Antibiotic,106,70,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
43,Fuga,"Shukla, Parekh and Nagar",Antibiotic,159,149,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
44,Fugit,Sachdeva-Sandhu,Antacid,248,99,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
45,Nostrum,Rout and Sons,Antipyretic,184,238,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
46,Unde,Kurian and Sons,Antidiabetic,47,128,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
47,Aperiam,"Balakrishnan, Hora and Borde",Antacid,476,171,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
48,Excepturi,Ghose and Sons,Analgesic,164,173,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
49,Explicabo,Gaba LLC,Antibiotic,24,227,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
50,Officiis,Patla and Sons,Antibiotic,315,93,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
51,Possimus,Wali and Sons,Analgesic,406,193,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
52,Ut,"Nori, Bansal and Ramachandran",Analgesic,211,80,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
53,Sint,"Badami, Nayar and Rau",Antacid,404,124,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
54,Dolor,Chaudhari-Srinivasan,Vitamin,455,98,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
55,Ab,"Kari, Nath and Suri",Antidiabetic,82,16,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
56,Placeat,Som Ltd,Analgesic,64,76,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
57,Exercitationem,"Chandran, Tata and Gera",Analgesic,396,203,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
58,Dolorum,Cheema-Padmanabhan,Antibiotic,415,232,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
59,Molestiae,"Prabhu, Prakash and Gola",Vitamin,236,256,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
60,Sint,Parsa-Reddy,Antihypertensive,266,58,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
61,Ipsa,Borah-Subramanian,Vitamin,119,292,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
62,Quam,Chana Inc,Antibiotic,92,248,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
63,Molestiae,Bala-Kumar,Analgesic,181,181,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
64,Totam,"Bassi, Grewal and Om",Antidiabetic,113,42,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
65,Tempore,"Naidu, Badami and Padmanabhan",Antipyretic,84,100,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
66,Illum,"Comar, Sankar and Rama",Antacid,75,39,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
67,Dolore,Chad-Bir,Antibiotic,351,20,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
68,In,Gera-Sengupta,Antidiabetic,428,121,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
69,Minus,"Butala, Tata and Devi",Vitamin,194,51,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
70,Nam,Dhar-Chakrabarti,Antacid,290,261,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
71,Dolore,Balay Inc,Antipyretic,405,241,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
72,Aliquam,Mall PLC,Steroid,383,246,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
73,Odit,Datta-Choudhry,Analgesic,317,261,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
74,Voluptatum,Jain LLC,Antibiotic,346,119,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
75,Iure,"Mander, Sridhar and Kashyap",Vitamin,40,227,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
76,Dicta,"Naik, Shah and Dutta",Steroid,68,129,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
77,Error,Zachariah-Loke,Analgesic,481,2,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
78,Architecto,Banik and Sons,Antacid,52,153,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
79,Nam,"Gupta, Keer and Korpal",Analgesic,158,132,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
80,Itaque,Amble PLC,Antipyretic,14,179,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
81,Voluptatibus,Seth Group,Steroid,400,135,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
82,Perferendis,Kala-Varughese,Antibiotic,440,68,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
83,Voluptates,Sethi-Ghose,Analgesic,167,219,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
84,Quaerat,Tank LLC,Steroid,458,203,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
85,Perferendis,Chander Group,Steroid,48,231,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
86,Quaerat,Zachariah PLC,Antihypertensive,222,104,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
87,Sapiente,Munshi-Tailor,Antacid,16,11,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
88,Architecto,Nazareth Ltd,Antipyretic,258,286,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
89,Rerum,Zacharia LLC,Antibiotic,121,93,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
90,Natus,Kata PLC,Antipyretic,482,132,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
91,Harum,Chaudhry-Ghosh,Antacid,439,81,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
92,Vero,Batta Ltd,Antacid,95,82,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
93,Error,Boase-Basu,Antidiabetic,40,270,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
94,Maxime,Sarin and Sons,Antacid,61,284,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
95,Repellat,"Shroff, Patla and Saha",Antidiabetic,460,288,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
96,Expedita,Bala-Tandon,Analgesic,269,113,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
97,Excepturi,Rajagopalan-Sunder,Steroid,281,289,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
98,Ad,Kara-Shenoy,Antacid,483,114,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
99,Impedit,Dave Group,Antibiotic,371,116,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
100,Modi,Chahal Ltd,Vitamin,206,179,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
101,Et,Dixit-Ranganathan,Analgesic,429,253,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
102,Ut,Chander-Salvi,Vitamin,21,90,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
103,Nostrum,"Sengupta, Ray and Dhawan",Antihypertensive,306,191,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
104,Explicabo,Das-Bhakta,Vitamin,28,97,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
105,Quod,"Sodhi, Goyal and Om",Antihypertensive,332,197,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
106,Nam,Doshi LLC,Antibiotic,113,175,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
107,Maxime,"Mander, Chadha and Lala",Analgesic,61,172,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
108,Iusto,De-Sheth,Antipyretic,428,44,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
109,Repudiandae,Batta Inc,Antihypertensive,131,96,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
110,In,Kakar Ltd,Analgesic,317,266,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
111,Vel,Pandit LLC,Antihypertensive,30,48,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
112,Praesentium,Ghosh-Wali,Antipyretic,406,200,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
113,Minima,"Madan, Panchal and Basu",Antipyretic,403,265,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
114,Enim,Nagarajan Group,Antacid,392,189,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
115,Sit,"Ramanathan, Mitter and Anne",Antipyretic,84,155,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
116,A,Majumdar-Dugar,Antacid,194,218,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
117,Magni,"Anand, Tandon and Anne",Analgesic,296,116,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
118,Vitae,"Naik, Parsa and Puri",Antibiotic,197,275,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
119,Perspiciatis,Guha Group,Antidiabetic,232,126,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
120,Maxime,"Korpal, Sarraf and Bal",Antihypertensive,295,106,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
121,Dolorem,Chhabra Group,Antidiabetic,495,225,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
122,Odio,Dalal-Taneja,Analgesic,10,179,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
123,Similique,"Butala, Pillay and Krishnamurthy",Antacid,57,226,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
124,At,Mistry LLC,Steroid,159,109,Injection,True,Refrigerated (2-8°C),18,Injection,Hormonal Therapy,Schedule H,40 mg/ml,Vial,Generic,True,True,Active,System,System,2023-01-01,2025-01-01
125,Facere,Sheth LLC,Analgesic,327,252,Tablet,False,Room Temperature,36,Oral,Pain Management,OTC,650 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
126,Sequi,"Sachar, Tella and Rege",Antidiabetic,56,13,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
127,Earum,Mallick LLC,Antibiotic,435,214,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
128,Ipsa,Pillai PLC,Antacid,233,222,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
129,Nostrum,"Prabhakar, Kulkarni and Chandran",Antacid,128,74,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
130,Officia,"Varty, Cherian and Aurora",Antihypertensive,413,225,Tablet,True,Cool & Dry,36,Oral,Cardiovascular,Schedule H,5 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
131,Hic,Bajwa and Sons,Antacid,69,32,Suspension,False,Cool & Dry,24,Oral,Gastrointestinal,OTC,170 ml,Bottle,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
132,Eos,"Sachdev, Wadhwa and Karan",Antipyretic,166,207,Tablet,False,Room Temperature,24,Oral,Fever Management,OTC,500 mg,Tablet,Generic,False,False,Active,System,System,2023-01-01,2025-01-01
133,Veniam,"Gara, Bora and Shah",Antidiabetic,174,239,Tablet,True,Refrigerated (2-8°C),18,Injection,Endocrinology,Schedule H,500 mg,Tablet,Brand,True,True,Active,System,System,2023-01-01,2025-01-01
134,Accusantium,Sandal-Nayar,Antibiotic,421,51,Capsule,True,Room Temperature,24,Oral,Anti-Infective,Schedule H,500 mg,Capsule,Generic,True,False,Active,System,System,2023-01-01,2025-01-01
135,Est,Mani and Sons,Vitamin,56,91,Tablet,False,Room Temperature,36,Oral,Nutritional Supplement,OTC,1000 IU,Tablet,Brand,False,False,Active,System,System,2023-01-01,2025-01-01
